1,https://www.moillusions.com/pothole-sticker-illusion/,The monocular sensor image is indistinguishable from a 3D object and might confuse an autonomous vehicle. ,"The severity is relatively low, because at worst an autonomous vehicle will stop and block the traffic."
2,An unusual pose of the vehicle,Unusual pose of a vehicle on a road might confuse an automonous vehicle.,"The severity of this example is high, because a misinterpretation of the object has a potential of creating an accident"
3,http://news4sanantonio.com/news/local/scary-dashcam-video-dump-truck-flips-catches-fire-after-three-vehicle-crash,Unusual dynamics of a vehicle on a road might confuse an automonous vehicle.,"The severity of this example is high, because a misinterpretation of the object has a potential of creating an accident"
4,http://no.link.com,Prediction of the direction of the splash and the behavior of a pedestrian is difficult for an autonomous vehicle.,"The severity is moderate, because at worst an autonomous vehicle will destroy property and confuse a  pedestrian."
5,http://no.link.com,A highly unusual appearance of the wildlife may confuse an autonomous vehicle.,"The severity of this example is moderate, because of a potential of stopping near the wildlife and endangering the passenger."
6,https://www.nbcnews.com/news/world/dangerous-new-breed-biker-gang-seeks-internet-glory-taunting-police-flna8C11328037,Prediction of the dynamic of the biker is difficult due to unusual mode of operation of the vehicle.,The severity of this example is high of a potential of creating an accident
7,https://www.youtube.com/watch?v=LEgvugM7K7U,The speed of the biker (especially with LED brake lights) in rainy conditions at night is difficult to estimate.,"The severity of this example is high, because a misinterpretation of the speed of the biker has a potential of creating an accident"
8,http://www.azfamily.com/story/37780362/tempe-pd-releases-video-of-moments-before-self-driving-uber-hit-killed-pedestrian,"Pedestrians can appear at any place on the road, illuminated in arbitrary way and carry arbitrary objects.","The severity of this example is high, because of a potential of creating an accident"
9,https://www.youtube.com/watch?v=N090M8s9MYo,Prediction of the direction of the splash and the behavior of a pedestrian is difficult for an autonomous vehicle.,"The severity is moderate, because at worst an autonomous vehicle will destroy property and confuse a  pedestrian."
10,http://www.wpta21.com/story/36829398/driver-escapes-vehicle-fire-monday-morning,"Unlike many other situations that require only braking action, fire requires active avoidance.","The severity of this example is moderate, because of a potential of stopping near the burning vehicle and destroying the vehicle."
11,https://www.nbcnews.com/storyline/western-wildfires/malibu-hit-wildfires-have-been-ravaging-southern-california-n827386,"Unlike many other situations that require only braking action, fire requires active avoidance.","The severity of this example is high, because of a potential of driving into and stopping in the zone of fire."
12,https://www.japantimes.co.jp/news/2016/03/18/national/truck-blamed-deadly-fiery-tunnel-rear-end-crash-failed-apply-brakes/,"Unlike many other situations that require only braking action, fire requires active avoidance.","The severity of this example is high, because of a potential of driving into and stopping in the zone of fire."
13,http://edmontonjournal.com/news/local-news/fort-mcmurray-wildfires-photos-from-tuesday-may-3,"Unlike many other situations that require only braking action, fire requires active avoidance.","The severity of this example is high, because of a potential of driving into and stopping in the zone of fire."
14,https://twitter.com/bojackhorsenam,"Unlike many other situations that require only braking action, fire requires active avoidance.","The severity of this example is high, because of a potential of driving into and stopping in the zone of fire."
15,https://californiaendlesssummer.com/category/vacations/,"Unlike many other situations that require only braking action, an encounter with a bear may requires active avoidance.","The severity of this example is moderate, because of a potential of stopping near the bear and endangering the passenger."
